-1.20966373555888-.610570962008735*I,-.376801648276732-1.6461274855*I,1.78887035584012-.5859353785*I
-1.20949204398696-.610335088429762*I,-.377334643877336-1.6461274855*I,1.78954344105746-.5859353785*I
-1.20871021430461-.609273208846726*I,-.379727401329585-1.6461274855*I,1.79258830599837-.5859353785*I
-1.20700241407815-.60701967731034*I,-.384768377795544-1.6461274855*I,1.79913053809425-.5859353785*I
-1.20459630786479-.603984487690477*I,-.391476737123299-1.6461274855*I,1.80811742281832-.5859353785*I
-1.20223101052949-.601142522317998*I,-.397671233062915-1.6461274855*I,1.81671848742261-.5859353785*I
-1.20079207006847-.599475478798394*I,-.401264705152694-1.6461274855*I,1.82184920374279-.5859353785*I
-1.20092807005181-.599631149936406*I,-.400930415744549-1.6461274855*I,1.82136738240155-.5859353785*I
-1.2028745981699-.601902857468893*I,-.396022339010564-1.6461274855*I,1.81439948482491-.5859353785*I
-1.20643332339052-.606287662844893*I,-.386394879259484-1.6461274855*I,1.80127939741882-.5859353785*I
-1.21092040163046-.612328232199596*I,-.372813855240559-1.6461274855*I,1.78389293492902-.5859353785*I
-1.21531422919467-.618961970711523*I,-.357497908744433-1.6461274855*I,1.76568115473033-.5859353785*I
-1.21870737484021-.624747309438241*I,-.343817552866187-1.6461274855*I,1.75052191451905-.5859353785*I
-1.22073815416437-.628581532327965*I,-.334593196948148-1.6461274855*I,1.74083414941884-.5859353785*I
-1.22162924992188-.630374103669489*I,-.330238974225603-1.6461274855*I,1.73640091831845-.5859353785*I
-1.22193560771104-.631008077334433*I,-.32869279190844-1.6461274855*I,1.73484749480504-.5859353785*I
-1.22220910568068-.631582211002906*I,-.327289764723471-1.6461274855*I,1.73344718238263-.5859353785*I
-1.22269809987044-.632628882002562*I,-.324725212519752-1.6461274855*I,1.73091014698394-.5859353785*I
-1.22330025975763-.633955742774491*I,-.321461676139313-1.6461274855*I,1.72772312325517-.5859353785*I
-1.22380966875087-.635113708892633*I,-.318602281076462-1.6461274855*I,1.72496824963107-.5859353785*I
-1.22416500683654-.635942264266271*I,-.316549922640413-1.6461274855*I,1.72301212114937-.5859353785*I
-1.22447304550602-.636675309843609*I,-.314729738586692-1.6461274855*I,1.72129190204868-.5859353785*I
