[EE__x(t) = -1.1e-005, EE__y(t) = .67783121622, EE__angle(t) = .001791354503]
[EE__x(t) = -7.1e-005, EE__y(t) = .67783119547, EE__angle(t) = .002424639437]
[EE__x(t) = -.000196, EE__y(t) = .67783235291, EE__angle(t) = .003035071924]
[EE__x(t) = -.0004, EE__y(t) = .67784072036, EE__angle(t) = .003583187736]
[EE__x(t) = -.000678, EE__y(t) = .6778563678, EE__angle(t) = .00402152782]
[EE__x(t) = -.001031, EE__y(t) = .67787517525, EE__angle(t) = .004309321044]
[EE__x(t) = -.001452, EE__y(t) = .67789118269, EE__angle(t) = .004409171363]
[EE__x(t) = -.001938, EE__y(t) = .67789941014, EE__angle(t) = .00428923246]
[EE__x(t) = -.002488, EE__y(t) = .67789617758, EE__angle(t) = .003921828575]
[EE__x(t) = -.003101, EE__y(t) = .67788157503, EE__angle(t) = .003291917916]
[EE__x(t) = -.003781, EE__y(t) = .67785831247, EE__angle(t) = .002391680035]
[EE__x(t) = -.004528, EE__y(t) = .67782993992, EE__angle(t) = .001228772315]
[EE__x(t) = -.005342, EE__y(t) = .67779935836, EE__angle(t) = -.0001809002048]
[EE__x(t) = -.006222, EE__y(t) = .67776732481, EE__angle(t) = -.001805963549]
[EE__x(t) = -.007162, EE__y(t) = .67773246226, EE__angle(t) = -.003607446623]
[EE__x(t) = -.008164, EE__y(t) = .6776928397, EE__angle(t) = -.005534686503]
[EE__x(t) = -.009229, EE__y(t) = .67764690715, EE__angle(t) = -.007532070114]
[EE__x(t) = -.010357, EE__y(t) = .67759453459, EE__angle(t) = -.009539768151]
[EE__x(t) = -.011547, EE__y(t) = .67753716204, EE__angle(t) = -.01149740986]
[EE__x(t) = -.012802, EE__y(t) = .67747591948, EE__angle(t) = -.01335036006]
[EE__x(t) = -.014119, EE__y(t) = .67741090693, EE__angle(t) = -.01504871302]
[EE__x(t) = -.015499, EE__y(t) = .67734069437, EE__angle(t) = -.01655805657]
[EE__x(t) = -.016942, EE__y(t) = .67726303182, EE__angle(t) = -.01785349258]
[EE__x(t) = -.018444, EE__y(t) = .67717620926, EE__angle(t) = -.0189329467]
