-.2285184055,.2603317389,-.3843188451
-.2292179715,.2980051269,-.2960882956
-.2327544295,.3322302194,-.2155250721
-.2385150945,.3637517493,-.1404990899
-.2461100045,.3930437237,-.6964962368e-1
-.2552740155,.4204284286,-.2039991165e-2
-.2658185355,.4461350999,.6301181800e-1
-.2776052305,.4703318855,.1260252048
-.2905306105,.4931445806,.1874110454
-.3045164935,.5146682139,.2475054942
-.3195038785,.5349745053,.3065922666
-.3354488895,.5541167854,.3649180518
-.3523200775,.5721332806,.4227037041
-.2258146582,.2710944015,-.4545192893
-.2238579157,.3119965750,-.3586283095
-.2254345025,.3486039260,-.2728312358
-.2296443671,.3820104824,-.1939935018
-.2359522062,.4128669141,-.1202535738
-.2440099965,.4415962490,-.5039403430e-1
-.2535776815,.4684902800,.1643770522e-1
-.2644828175,.4937586171,.8087086867e-1
-.2765980795,.5175560246,.1433900598
-.2898278575,.5399987168,.2043823974
-.3040998625,.5611745648,.2641674432
-.3193596745,.5811497167,.3230171906
-.3355671285,.5999729917,.3811700914
-.2282502372,.2775663874,-.5382113046
-.2224976893,.3230824293,-.4307670745
-.2214862704,.3628355485,-.3376483079
-.2237464516,.3986119773,-.2537104298
-.2284900865,.4313697267,-.1762111331
-.2352367209,.4616927948,-.1034785189
-.2436689305,.4899670155,-.3439925227e-1
-.2535653495,.5164614657,.3181697014e-1
-.2647657587,.5413708923,.9575970588e-1
-.2771512822,.5648397916,.1578871477
-.2906324280,.5869769429,.2185682561
-.3051415252,.6078646008,.2781098512
-.3206277870,.6275644988,.3367749278
-.2384071832,.2767704533,-.6439962751
-.2264590321,.3298173617,-.5166259629
-.2217630492,.3740491313,-.4124582448
-.2214466558,.4129574336,-.3213462752
-.2242192531,.4481110136,-.2387789709
-.2293680396,.4803762940,-.1622774130
-.2364506962,.5102909207,-.9030112267e-1
-.2451715427,.5382142992,-.2181043363e-1
-.2553227086,.5643990995,.4394020061e-1
-.2667529145,.5890292035,.1075115384
-.2793495274,.6122415202,.1693424417
-.2930276166,.6341392833,.2297885074
-.3077229870,.6548005229,.2891471582
-.2641294007,.2593778640,-.7992967258
-.2383794174,.3292011410,-.6248714121
-.2276969961,.3807095315,-.5016557729
-.2237001026,.4240915457,-.3996318304
-.2238543470,.4624277793,-.3098626300
-.2269786191,.4971538921,-.2282239540
-.2324079386,.5290781796,-.1524036854
-.2397247434,.5587081954,-.8094644942e-1
-.2486476891,.5863859194,-.1286100253e-1
-.2589779065,.6123530786,.5256847153e-1
-.2705701353,.6367862418,.1158834530
-.2833159757,.6598171693,.1775097860
-.2971336141,.6815453075,.2377940428
-.3181491822+.5783081062e-1*I,.2101786883+.7029436432e-1*I,-1.047197552+.2114951008*I
-.2660295339,.3120547554,-.7824435930
