-.2835484963,.4332211482,-.5302759620
-.2783203375,.4763487104,-.4285390196
-.2773589801,.5142898980,-.3396676682
-.2793960376,.5485864622,-.2592223084
-.2837318555,.5800888391,-.1847684497
-.2899323431,.6093246809,-.1147960477
-.2977070760,.6366469983,-.4828812198e-1
-.3068514810,.6623044560,.1548273355e-1
-.3172161699,.6864786375,.7706179395e-1
-.3036777012,.4276279418,-.6656682372
-.2906028184,.4802933351,-.5385599575
-.2849765551,.5239047983,-.4355817256
-.2837520909,.5621657989,-.3459436379
-.2855948813,.5966984985,-.2649715694
-.2897771107,.6283875661,-.1901323796
-.2958503463,.6577780845,-.1198664490
-.3035159572,.6852330424,-.5312885389e-1
-.3125642657,.7110073064,.1082485165e-1
-.3548576766,.3866533042,-.9052845935
-.3152178323,.4716088692,-.6853934124
-.3007038572,.5260235053,-.5534695663
-.2943383599,.5705335187,-.4481707772
-.2926329050,.6093791733,-.3571209379
-.2941237071,.6443397178,-.2751872062
-.2980292713,.6763650795,-.1996481459
-.3038742307,.7060330698,-.1288509161
-.3113446989,.7337252271,-.6169855692e-1
-.3833822092+.9146561851e-1*I,.3758528936+.1111780634*I,-1.047197550+.3309281140*I
-.4014238240+.9171220610e-2*I,.3906956363+.1114777948e-1*I,-1.047197551+.3378457214e-1*I
-.3313909069,.5125945195,-.7167069370
-.3143902666,.5700317378,-.5763756291
-.3068282957,.6159960876,-.4672807658
-.3043651632,.6557627087,-.3739819179
-.3053098132,.6913871132,-.2905379750
-.3087902550,.7239292173,-.2139094888
-.3142868418,.7540206620,-.1422899625
-.3753632181+.1395802244*I,.4124602348+.1696622105*I,-1.047197551+.4939456870*I
-.3934048329+.1031648220*I,.4273029782+.1253986502*I,-1.047197551+.3715021352*I
-.4114464485+.4737019788e-1*I,.4421457222+.5757930620e-1*I,-1.047197551+.1736594438*I
-.3538937873,.5488746328,-.7649404758
-.3324978959,.6116543564,-.6095277625
-.3230598437,.6598991162,-.4943910332
-.3194602307,.7010471518,-.3976652137
-.3196048712,.7376439810,-.3119716296
-.3224718089,.7709318100,-.2337423089
-.3694742178+.1791754940*I,.4499305920+.2177909550*I,-1.047197551+.6197273040*I
-.3875158301+.1505652172*I,.4647733333+.1830146618*I,-1.047197551+.5296396819*I
-.4055574453+.1169466720*I,.4796160770+.1421507306*I,-1.047197551+.4185567450*I
-.4235990594+.7158057119e-1*I,.4944588198+.8700743946e-1*I,-1.047197551+.2607702713*I
-.3869748333,.5757488523,-.8443961273
-.3564356322,.6496424282,-.6569598876
-.3439674975,.7015703069,-.5318696577
-.3386634300,.7447901361,-.4298965032
-.3376516844,.7827925726,-.3408786191
-.3661043431+.2157152650*I,.4884216276+.2622056873*I,-1.047197551+.7285981696*I
